1,10,20,33,37,38,2307103
17,22,25,26,30,34,3013593
7,9,17,26,38,43,15295888
12,28,32,35,39,44,2592896
10,19,23,35,36,42,6840443
11,12,13,24,36,44,10381336
11,12,15,18,20,45,6922113
1,10,13,28,30,35,3547583
2,6,10,11,14,40,273326
10,11,26,33,38,44,2334974
1,17,20,26,36,38,1870062
2,8,10,13,14,26,373149
3,9,15,20,32,37,19166924
1,4,20,37,40,42,4128295
1,6,14,20,27,31,7924534
1,8,36,37,38,42,24908372
19,20,23,25,30,42,2995334
3,22,28,33,38,40,3200456
2,15,17,23,33,44,6297855
7,8,11,20,33,44,6526968
13,14,17,24,27,31,2255947
6,9,23,26,42,43,8378110
4,10,17,34,40,43,3537778
7,16,18,30,42,44,5060258
2,12,14,31,35,45,3582078
2,8,12,22,31,34,4086932
9,17,20,32,39,40,11369447
1,30,35,39,40,44,18190275
7,14,19,26,35,38,10972956
1,3,9,15,16,25,2384032
14,22,23,24,31,42,20531921
1,5,23,24,32,43,15626293
2,4,6,14,21,37,3899858
2,12,14,17,29,31,8923725
13,19,34,35,38,40,12610731
7,12,18,24,31,39,3265647
1,5,10,38,39,41,3286846
4,6,12,19,39,45,23190744
3,6,9,10,16,17,3718001
16,19,22,34,38,40,374564
1,11,17,35,38,42,18365694
1,9,12,13,16,40,5575562
13,14,20,28,34,36,8089637
2,18,23,34,35,45,19043319
8,12,21,25,35,44,15394719
1,7,22,28,29,44,169837
11,13,16,19,20,44,7519394
4,8,12,13,16,31,17678122
4,10,12,27,43,44,1248745
2,16,17,24,27,28,8055271
9,14,16,17,26,31,3698087
8,14,19,26,40,41,17684928
12,17,19,25,28,33,7820724
4,18,23,25,32,42,5665447
5,8,12,17,34,38,136371
9,15,21,23,41,44,3083644
7,15,27,37,42,44,19499609
6,15,20,33,35,37,12071899
13,17,19,21,22,25,11192919
2,12,13,15,23,44,5977828
11,19,30,31,39,45,2233506
1,8,29,35,41,43,494262
14,16,24,28,37,45,8131833
5,8,9,10,14,35,1773958
3,9,10,19,33,39,5548311
17,28,30,32,34,40,17196321
7,13,21,24,27,40,14520763
7,11,13,36,40,42,12170967
7,14,15,24,25,38,15683755
3,4,16,28,43,44,1290588
4,6,11,21,33,34,5272029
7,9,17,24,29,39,4173708
2,11,18,24,28,45,11182708
1,3,27,33,34,45,7639404
1,2,10,13,20,29,6810052
5,7,10,24,28,40,26010604
1,18,25,26,38,42,4647753
12,18,30,39,40,45,3985266
6,14,21,23,29,38,22158643
10,25,26,33,41,42,3782513
2,13,15,17,40,41,718325
9,14,17,24,40,41,8550912
7,13,20,22,32,39,6404675
16,24,30,34,44,45,16482176
6,7,9,12,29,45,5862494
12,19,26,28,35,44,13122668
9,11,17,22,26,31,16925518
1,9,18,20,21,44,4357163
5,10,22,28,34,35,38605
2,6,16,24,29,39,2707020
1,4,13,17,28,31,2421480
1,3,13,35,37,45,9775549
4,24,25,27,29,39,6263592
8,9,20,22,31,44,11935393
3,28,29,32,37,45,7390992
1,17,27,30,32,44,5367180
3,5,10,22,38,44,2739076
2,22,26,31,35,43,3550359
10,13,17,22,27,31,6643620
3,16,26,30,33,34,6328128
5,9,15,36,38,39,3047077
5,8,21,29,36,39,18552360
9,18,20,36,38,43,3521950
3,10,15,19,30,40,2033488
5,6,10,13,14,33,4554802
25,29,34,36,41,43,4982445
1,6,9,32,37,44,3719389
2,4,6,7,17,22,385250
8,22,24,25,36,39,1081707
9,14,15,17,38,43,3066204
1,5,12,31,39,40,127337
22,30,33,37,41,45,5921036
17,23,30,38,40,43,2921437
1,7,24,40,44,45,16857723
13,16,17,24,25,29,2888703
4,9,13,20,27,42,2916967
3,8,17,35,37,45,496059
6,14,17,33,34,35,2257100
1,2,10,12,18,39,3511312
5,10,15,18,26,40,5134545
6,9,11,34,35,45,10531431
10,11,13,19,25,43,4575785
1,6,12,16,18,33,1647481
4,5,10,15,21,40,1668255
15,22,24,28,30,31,8415091
2,16,19,20,22,25,1830918
2,15,16,22,25,34,15925864
4,16,28,29,30,38,10220412
3,9,14,17,19,38,1171378
2,8,12,22,30,33,6354384
11,18,20,24,29,32,4836010
7,10,13,14,30,38,26985242
1,12,13,20,33,36,12841811
5,8,10,12,25,38,6542461
14,15,18,41,44,45,2406987
10,26,32,35,40,44,310808
14,17,28,39,43,45,5172586
18,19,22,30,37,44,23498222
8,11,24,34,36,38,17805149
1,6,15,19,20,26,13909622
