3,11,15,29,33,42,2592983
5,15,19,21,23,28,4146951
3,12,13,16,22,25,2622050
5,15,16,23,33,45,4138816
4,8,21,23,29,35,3200478
10,16,18,19,25,43,6382802
2,7,11,21,25,30,1498058
17,20,23,30,41,44,7707412
8,15,22,38,39,44,5668863
17,24,30,40,43,45,7746594
5,11,16,22,24,26,4002672
10,17,18,20,30,32,6403651
6,14,22,33,36,37,4703406
3,20,22,40,43,44,2837276
3,7,16,19,30,39,2370869
6,11,25,36,37,42,4599220
7,13,19,20,39,43,5165735
3,18,19,22,27,32,2801656
4,20,26,27,38,43,3590826
7,15,21,25,35,45,5230061
7,15,21,23,32,45,5229628
3,12,20,31,35,43,2648876
3,4,11,24,41,43,2102161
20,29,36,38,39,40,7963410
15,16,23,28,29,41,7424410
2,3,11,12,18,39,1145748
4,17,21,24,43,44,3538433
9,13,14,17,30,39,5961039
2,15,17,20,29,42,1883201
2,5,10,23,26,32,1336513
2,10,19,32,38,45,1708716
1,10,16,18,22,26,734427
14,15,27,29,33,45,7262586
11,25,26,39,40,42,6780742
1,2,10,15,38,42,66965
1,19,22,23,30,41,1009723
5,10,12,14,29,33,3936500
18,19,20,23,37,40,7769046
4,23,34,36,39,43,3621906
3,16,17,31,33,34,2759602
8,18,19,33,42,43,5724370
2,9,12,14,28,31,1626048
15,21,26,37,38,42,7504824
19,23,26,29,41,44,7884052
3,14,28,33,44,45,2726762
9,13,15,25,27,44,5967192
6,17,23,30,41,44,4776379
8,12,16,21,40,41,5557150
12,13,21,23,40,45,6823939
9,12,27,33,34,45,5956596
7,8,10,13,21,28,4890868
12,16,20,30,34,44,6905575
1,4,16,20,35,41,310509
4,6,31,33,35,44,3071647
21,22,26,33,37,40,7972685
8,13,15,34,35,38,5591277
3,5,23,29,32,45,2233312
9,12,15,22,33,44,5930688
2,4,8,16,23,25,1229257
8,10,14,30,37,38,5463688
4,11,25,26,30,37,3364488
11,17,39,41,43,45,6701855
3,16,22,25,29,37,2770395
7,17,18,32,33,37,5268188
3,9,11,16,28,33,2472103
14,15,28,29,41,45,7263326
7,17,29,33,38,44,5284036
1,10,14,19,30,41,727201
9,20,22,27,43,44,6134464
4,11,17,26,30,37,3348858
1,17,19,21,28,35,970607
11,27,28,31,33,37,6788769
10,21,26,32,33,45,6475167
4,21,24,29,37,38,3599587
10,11,15,21,35,41,6214165
3,19,20,28,34,41,2820104
8,18,31,34,37,44,5738350
9,13,20,32,43,45,5982954
9,14,16,23,27,45,6001912
4,8,13,22,28,33,3174895
4,7,20,36,41,42,3133986
1,6,19,34,35,39,495084
