participant,opponent_type,outcome_value,win_rate,player_move
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,1
1,Exploitable,Low,0.711111111,2
1,Exploitable,Low,0.711111111,0
1,Exploitable,Low,0.711111111,1
